,Total Land Area (acres),Number of Cows,Product ID,Quantity (liters/kg),Overall Prices,Total Value of products available,Shelf Life (days),Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Year of recording data,clusters
26,386.14,85,4,27.43,85.13,2335.1159,25,2,83.19,166.38,25,25.05,72.67,2019,0
27,689.33,89,9,405.07,35.15,14238.2105,10,309,37.34,11538.06,96,52.34,167.14,2019,0
28,305.69,45,3,947.55,42.92,40668.846,42,605,42.09,25464.45,342,13.21,163.88,2019,2
29,953.38,37,9,969.09,61.34,59443.9806,7,779,60.15,46856.85,190,32.08,128.68,2019,1
30,735.36,12,8,662.05,19.8,13108.59,11,394,16.49,6497.06,268,21.42,29.58,2019,0
31,854.57,93,6,575.27,92.01,52930.5927,5,295,93.5,27582.5,280,25.34,92.39,2019,1
32,897.53,46,2,597.69,89.76,53648.6544,35,446,88.33,39395.18,151,35.82,163.04,2019,1
33,252.66,66,5,404.48,65.45,26473.216,30,204,61.28,12501.12,200,98.15,104.98,2019,2
34,206.8,39,8,22.91,31.31,717.3121,13,12,34.5,414.0,10,28.96,97.86,2019,0
35,546.54,33,1,842.01,48.67,40980.6267,23,668,47.24,31556.32,174,40.56,121.29,2019,2
36,94.52,35,3,447.35,34.7,15523.045,62,125,32.71,4088.75,322,98.8,137.06,2019,0
37,104.68,59,2,414.67,26.89,11150.4763,36,192,27.85,5347.2,222,11.16,51.24,2019,0
38,61.05,41,4,832.48,86.44,71959.5712,22,325,82.12,26689.0,507,59.4,116.34,2019,1
39,987.82,18,4,22.08,19.79,436.9632,21,1,20.45,20.45,21,32.34,70.43,2019,0
40,775.22,13,7,346.67,92.87,32195.2429,18,339,88.88,30130.32,7,57.97,75.82,2019,2
41,403.35,73,3,137.95,64.84,8944.678,82,99,62.02,6139.98,38,53.04,170.39,2019,0
42,930.28,20,5,640.53,65.31,41833.0143,26,2,66.26,132.52,638,66.21,184.36,2019,2
43,691.1,33,2,998.52,76.47,76356.8244,38,404,74.62,30146.48,594,53.34,115.57,2019,1
44,122.78,89,3,248.76,37.91,9430.4916,47,167,39.67,6624.89,81,17.27,38.97,2019,0
45,546.37,89,4,111.62,28.84,3219.1208,23,76,27.5,2090.0,35,45.83,80.2,2019,0
46,302.87,11,1,396.31,62.56,24793.1536,30,331,66.64,22057.84,65,79.47,90.3,2019,2
47,147.92,95,7,65.25,49.98,3261.195,16,8,45.06,360.48,57,25.84,87.56,2019,0
48,531.72,96,3,664.52,24.66,16387.0632,74,486,27.96,13588.56,178,81.76,177.23,2019,0
49,395.78,50,2,929.13,52.15,48454.1295,40,600,52.33,31398.0,329,99.53,65.43,2019,1
50,450.54,67,4,246.86,67.18,16584.0548,28,72,71.16,5123.52,174,54.9,56.18,2019,0
51,892.56,77,10,813.23,63.62,51737.6926,62,498,65.1,32419.8,315,46.87,111.51,2019,1
52,823.13,38,4,205.81,58.69,12078.9889,30,110,63.65,7001.5,95,12.76,177.06,2019,0
53,550.09,90,4,597.28,45.62,27247.9136,30,52,41.39,2152.28,545,32.95,62.82,2019,0
54,895.75,91,10,522.88,27.02,14128.2176,65,163,29.65,4832.95,359,57.03,47.66,2019,0
55,515.63,11,1,761.45,49.28,37524.256,1,9,47.47,427.23,752,37.43,124.16,2019,2
56,616.63,33,1,411.82,90.18,37137.9276,30,353,91.04,32137.12,58,56.47,77.54,2019,2
57,255.69,57,7,34.61,42.72,1478.5392,14,10,40.85,408.5,24,75.41,39.11,2019,0
58,223.22,12,9,374.46,37.85,14173.311,13,299,42.07,12578.93,75,13.3,121.91,2019,0
59,942.59,50,5,521.36,86.67,45186.2712,28,176,81.81,14398.56,345,99.92,44.05,2019,2
60,50.61,70,8,117.03,33.4,3908.802,8,86,32.74,2815.64,31,62.58,161.32,2019,0
61,734.14,51,2,954.95,33.81,32286.8595,35,409,33.31,13623.79,545,66.93,40.36,2019,2
62,162.57,97,8,503.23,30.98,15590.0654,9,302,34.76,10497.52,201,29.51,192.1,2019,0
63,528.93,26,2,210.36,80.1,16849.836,38,197,83.02,16354.94,13,91.66,112.36,2019,0
64,725.6,20,10,528.65,81.97,43333.4405,69,144,81.18,11689.92,384,67.1,146.97,2019,2
65,430.75,90,5,317.45,42.39,13456.7055,29,59,43.22,2549.98,258,44.6,67.76,2019,0
66,212.92,71,4,237.8,75.29,17903.962,22,225,76.07,17115.75,12,57.07,83.19,2019,0
67,101.57,57,3,986.74,59.32,58533.4168,53,546,56.89,31061.94,440,66.69,42.54,2019,1
68,492.86,58,1,820.5,49.31,40458.855,1,417,44.55,18577.35,403,22.34,189.63,2019,2
69,112.97,36,4,948.26,11.2,10620.512,25,928,9.71,9010.88,20,14.23,61.99,2019,0
70,405.73,45,9,422.02,12.17,5135.9834,11,78,9.98,778.44,344,56.39,184.51,2019,0
71,981.27,11,10,151.6,31.62,4793.592,89,45,29.74,1338.3,106,68.73,74.58,2019,0
72,753.02,54,4,443.71,44.87,19909.2677,28,243,43.17,10490.31,200,11.63,160.5,2019,0
73,239.86,15,6,85.88,29.46,2530.0248,7,72,27.4,1972.8,13,95.81,146.74,2019,0
74,631.52,66,1,318.29,49.68,15812.6472,2,292,51.65,15081.8,26,95.38,26.79,2019,0
75,679.3,88,5,315.74,41.92,13235.8208,21,64,38.28,2449.92,251,11.99,82.81,2019,0
76,71.93,18,1,368.44,38.56,14207.0464,25,18,43.0,774.0,350,38.34,171.95,2019,0
77,845.44,49,1,64.26,70.75,4546.395,1,30,70.83,2124.9,34,64.93,46.34,2019,0
78,881.94,12,10,521.22,81.22,42333.4884,112,387,86.17,33347.79,134,35.02,92.98,2019,2
79,247.35,81,2,722.89,60.42,43677.0138,28,312,56.26,17553.12,410,47.62,148.82,2019,2
80,841.49,32,10,271.14,86.28,23393.9592,72,174,90.15,15686.1,97,32.5,170.91,2019,2
81,816.91,42,9,971.72,54.31,52774.1132,14,490,54.16,26538.4,481,21.88,144.19,2019,1
82,672.3,12,9,214.84,94.34,20268.0056,7,114,91.48,10428.72,100,91.03,189.78,2019,0
83,479.23,23,1,86.33,48.91,4222.4003,28,84,45.16,3793.44,2,32.22,91.81,2019,0
84,360.64,52,9,225.19,10.77,2425.2963,11,8,6.95,55.6,217,84.0,148.54,2019,0
85,779.67,37,1,864.53,55.28,47791.2184,2,611,58.33,35639.63,253,64.99,34.11,2019,1
86,54.41,52,3,359.3,85.27,30637.511,52,287,89.79,25769.73,72,41.1,49.15,2019,2
87,304.49,64,9,942.65,13.46,12688.069,14,808,10.4,8403.2,134,48.85,39.19,2019,0
88,246.36,76,9,492.42,23.88,11758.9896,11,376,19.58,7362.08,116,68.53,133.16,2019,0
89,478.54,20,10,792.59,59.56,47206.6604,106,726,60.52,43937.52,66,63.91,159.72,2019,1
90,29.92,80,6,863.98,15.77,13624.9646,5,105,15.86,1665.3,758,91.52,138.76,2019,0
91,653.14,38,10,456.99,36.37,16620.7263,147,9,40.53,364.77,447,84.55,157.58,2019,0
92,364.38,60,7,17.84,22.26,397.1184,12,8,22.0,176.0,9,40.42,54.18,2019,0
93,721.78,46,2,965.9,76.81,74190.779,38,773,80.02,61855.46,192,34.08,113.36,2019,1
94,156.12,78,9,87.86,49.87,4381.5782,13,71,52.63,3736.73,16,14.03,35.88,2019,0
95,541.7,68,5,568.75,85.41,48576.9375,21,303,88.05,26679.15,265,13.86,62.67,2019,2
96,516.33,100,9,499.95,19.39,9694.0305,7,248,19.71,4888.08,251,54.35,150.12,2019,0
97,790.72,41,10,459.33,80.82,37123.0506,84,41,80.13,3285.33,418,44.83,127.36,2019,2
98,77.65,99,9,343.07,85.1,29195.257,9,277,81.32,22525.64,66,89.64,187.37,2019,2
99,222.28,90,9,522.24,91.19,47623.0656,8,192,89.41,17166.72,330,96.48,171.46,2019,2
100,82.51,69,1,791.35,95.89,75882.5515,27,419,99.87,41845.53,372,87.37,148.34,2019,1
101,695.77,13,7,270.82,27.73,7509.8386,13,13,28.12,365.56,257,87.74,69.73,2019,0
102,880.74,21,2,844.47,95.38,80545.5486,38,188,90.64,17040.32,656,79.33,71.89,2019,1
103,488.37,67,1,689.35,21.56,14862.386,2,101,22.37,2259.37,588,74.84,134.97,2019,0
104,746.97,95,5,791.28,80.74,63887.9472,27,304,77.93,23690.72,487,56.53,139.22,2019,1
105,601.85,74,3,622.13,53.28,33147.0864,58,360,51.36,18489.6,262,24.39,118.58,2019,2
106,583.5,26,8,500.55,68.17,34122.4935,10,246,70.02,17224.92,254,81.18,103.92,2019,2
107,761.77,69,10,608.98,62.83,38262.2134,139,69,61.85,4267.65,539,40.81,74.2,2019,2
108,768.33,65,3,380.01,13.09,4974.3309,61,35,14.05,491.75,345,16.06,25.36,2019,0
109,141.46,69,3,253.04,79.63,20149.5752,82,71,83.67,5940.57,182,13.56,86.82,2019,0
110,38.74,27,1,459.12,55.6,25527.072,21,409,53.42,21848.78,50,92.41,79.05,2019,2
111,643.98,23,7,783.34,17.6,13786.784,15,524,13.42,7032.08,259,65.31,40.84,2019,0
112,374.9,94,10,479.76,86.51,41504.0376,137,48,90.7,4353.6,431,85.68,37.77,2019,2
113,845.88,40,7,934.87,84.61,79099.3507,17,790,82.25,64977.5,144,44.9,182.21,2019,1
114,929.93,29,6,761.33,60.76,46258.4108,6,90,61.53,5537.7,671,57.2,75.56,2019,2
115,506.33,58,6,584.77,16.35,9560.9895,7,77,14.03,1080.31,507,77.72,193.33,2019,0
116,299.87,20,10,42.5,16.86,716.55,94,37,17.44,645.28,5,47.35,171.75,2019,0
117,515.84,36,2,545.42,68.65,37443.083,40,129,73.18,9440.22,416,67.52,129.08,2019,2
118,780.71,53,7,710.79,27.38,19461.4302,18,366,24.21,8860.86,344,81.12,149.06,2019,0
119,943.29,10,8,429.74,35.66,15324.5284,10,204,36.45,7435.8,225,79.92,31.78,2019,0
120,166.71,57,2,127.67,19.65,2508.7155,35,26,22.59,587.34,101,82.15,109.14,2019,0
121,484.68,84,9,759.31,13.43,10197.5333,9,381,9.37,3569.97,378,70.67,156.02,2019,0
122,497.33,95,4,636.24,49.86,31722.9264,30,76,48.96,3720.96,560,53.86,26.35,2019,2
123,282.77,93,1,426.31,42.23,18003.0713,2,227,45.56,10342.12,199,42.18,64.97,2019,0
124,967.56,64,7,386.56,44.37,17151.6672,14,137,45.36,6214.32,249,44.46,75.54,2019,0
125,345.63,43,7,716.24,11.46,8208.1104,17,272,15.93,4332.96,444,75.43,109.4,2019,0
126,751.93,34,10,467.21,85.04,39731.5384,130,348,84.88,29538.24,119,60.53,60.41,2019,2
127,870.4,68,1,849.59,48.31,41043.6929,28,70,47.96,3357.2,779,17.39,165.23,2019,2
128,222.69,98,6,132.19,13.36,1766.0584,5,18,14.3,257.4,114,54.22,26.77,2019,0
129,873.71,78,10,114.7,75.55,8665.585,122,22,74.7,1643.4,92,30.44,138.17,2019,0
130,108.77,33,5,663.41,68.75,45609.4375,21,114,72.55,8270.7,549,66.49,160.74,2019,2
131,664.01,88,5,962.02,29.79,28658.5758,22,930,25.09,23333.7,32,53.54,109.02,2019,2
132,679.94,93,1,166.93,75.35,12578.1755,26,54,70.47,3805.38,112,32.81,138.01,2019,0
133,767.61,95,3,572.36,26.01,14887.0836,46,433,25.84,11188.72,139,66.08,148.41,2019,0
134,789.03,31,7,729.19,77.28,56351.8032,15,294,79.09,23252.46,435,58.23,132.93,2019,1
135,963.9,57,6,775.56,91.21,70738.8276,6,287,94.56,27138.72,488,19.56,96.94,2019,1
136,78.55,89,2,746.15,77.47,57804.2405,25,305,76.1,23210.5,441,34.35,104.43,2019,1
137,113.57,94,9,480.87,70.3,33805.161,9,292,67.95,19841.4,188,61.51,145.13,2019,2
138,315.64,72,8,794.42,10.47,8317.5774,7,44,12.71,559.24,750,14.76,96.46,2019,0
139,717.18,17,6,334.34,29.45,9846.313,5,53,25.74,1364.22,281,20.52,30.01,2019,0
140,283.72,88,8,625.85,74.46,46600.791,14,587,72.2,42381.4,38,85.69,187.63,2019,1
141,693.77,28,6,893.14,21.12,18863.1168,6,55,24.34,1338.7,838,24.64,119.94,2019,0
142,645.25,19,4,929.65,26.45,24589.2425,26,387,22.28,8622.36,542,73.02,177.08,2019,2
143,67.61,77,9,203.36,29.08,5913.7088,14,15,29.09,436.35,188,10.9,25.14,2019,0
144,992.08,83,4,920.75,54.58,50254.535,23,880,53.79,47335.2,40,78.98,151.71,2019,1
145,754.59,18,3,311.09,68.72,21378.1048,44,279,71.18,19859.22,32,92.98,82.38,2019,2
146,954.21,61,1,28.96,89.76,2599.4496,1,5,89.8,449.0,23,89.58,172.87,2019,0
147,666.44,28,3,458.08,61.27,28066.5616,77,310,58.86,18246.6,148,16.44,69.98,2019,2
148,677.91,91,4,370.74,30.34,11248.2516,24,121,26.77,3239.17,249,18.33,101.73,2019,0
149,188.62,70,10,66.15,31.71,2097.6165,108,43,36.25,1558.75,23,66.34,180.72,2019,0
150,428.79,23,6,902.4,28.87,26052.288,7,246,24.0,5904.0,656,98.04,58.85,2019,2
151,177.08,62,5,913.61,15.27,13950.8247,25,678,15.55,10542.9,235,78.92,163.03,2019,0
152,333.84,34,8,35.09,32.61,1144.2849,8,18,28.16,506.88,17,57.41,151.6,2019,0
153,31.72,80,5,695.57,14.11,9814.4927,22,184,13.19,2426.96,511,76.14,63.94,2019,0
154,781.13,39,6,45.59,98.0,4467.82,5,8,100.84,806.72,37,39.64,120.6,2019,0
155,956.18,98,3,559.12,61.11,34167.8232,70,366,61.17,22388.22,193,95.64,78.51,2019,2
156,894.39,87,1,479.43,86.17,41312.4831,2,294,90.44,26589.36,185,58.43,46.56,2019,2
157,954.47,87,5,76.57,47.42,3630.9494,27,53,49.19,2607.07,23,60.99,153.21,2019,0
158,244.08,37,7,144.1,48.64,7009.024,17,70,50.66,3546.2,74,39.78,32.96,2019,0
159,467.23,46,2,351.25,51.05,17931.3125,32,350,51.0,17850.0,1,56.15,124.41,2019,0
160,797.17,18,3,706.66,63.49,44865.8434,75,247,62.89,15533.83,459,42.38,52.55,2019,2
161,172.73,32,3,783.83,31.05,24337.9215,62,510,26.06,13290.6,273,91.82,50.5,2019,2
162,457.87,55,5,926.07,30.16,27930.2712,26,137,26.11,3577.07,789,38.13,140.84,2019,2
163,408.86,72,8,368.0,95.08,34989.44,8,325,98.84,32123.0,43,74.92,149.92,2019,2
164,27.6,78,10,220.62,45.83,10111.0146,132,24,41.18,988.32,196,99.62,125.91,2019,0
165,304.32,30,1,206.57,62.33,12875.5081,29,53,61.41,3254.73,153,36.43,31.5,2019,0
166,388.83,67,10,635.13,61.24,38895.3612,61,61,61.93,3777.73,574,70.37,162.46,2019,2
167,411.76,77,5,314.31,30.62,9624.1722,29,143,34.65,4954.95,171,89.1,45.01,2019,0
168,334.78,65,7,211.13,94.88,20032.0144,12,46,93.27,4290.42,165,69.54,147.24,2019,0
169,645.31,74,10,753.79,78.15,58908.6885,100,62,75.55,4684.1,691,77.74,178.83,2019,2
170,667.77,54,9,935.45,41.05,38400.2225,13,491,37.54,18432.14,444,27.15,180.67,2019,2
171,819.45,42,8,801.25,34.8,27883.5,14,292,38.9,11358.8,509,46.12,32.45,2019,2
172,435.3,28,9,503.08,20.89,10509.3412,11,416,25.18,10474.88,87,47.08,50.75,2019,0
173,449.91,44,7,333.76,16.79,5603.8304,17,209,13.38,2796.42,124,75.69,138.25,2019,0
174,976.02,95,6,488.83,42.69,20868.1527,6,167,41.02,6850.34,321,97.56,36.85,2019,0
175,429.51,59,4,376.11,47.65,17921.6415,27,129,43.45,5605.05,247,69.65,87.54,2019,0
176,253.88,41,6,231.94,31.63,7336.2622,6,202,27.39,5532.78,29,58.32,71.05,2019,0
177,756.9,26,6,593.57,46.25,27452.6125,6,54,50.4,2721.6,539,53.4,160.3,2019,2
178,402.57,40,7,426.62,24.45,10430.859,18,93,21.33,1983.69,333,29.28,169.91,2019,0
179,424.88,36,5,369.61,52.94,19567.1534,23,27,52.21,1409.67,342,59.25,136.68,2019,0
180,236.96,29,8,929.71,84.51,78569.7921,7,569,87.41,49736.29,360,17.0,56.64,2019,1
181,98.14,37,6,446.62,95.19,42513.7578,7,389,96.66,37600.74,57,94.98,153.67,2019,2
182,731.29,20,7,59.17,68.23,4037.1691,14,45,71.74,3228.3,14,28.94,168.87,2019,0
183,176.93,37,6,127.22,56.68,7210.8296,7,55,52.47,2885.85,72,39.64,73.4,2019,0
184,572.27,41,7,897.05,69.3,62165.565,16,605,70.92,42906.6,292,59.76,49.56,2019,1
185,937.71,28,1,957.37,58.07,55594.4759,27,401,58.6,23498.6,556,63.39,151.89,2019,1
186,659.16,13,7,147.0,25.54,3754.38,13,10,27.99,279.9,137,92.78,130.97,2019,0
187,491.53,36,8,243.92,75.22,18347.6624,9,229,79.76,18265.04,14,64.52,188.23,2019,0
188,740.27,81,5,137.74,77.83,10720.3042,28,75,80.28,6021.0,62,37.11,106.57,2019,0
189,623.93,74,7,885.52,57.83,51209.6216,14,766,54.52,41762.32,119,43.11,184.39,2019,1
190,122.39,32,9,637.4,46.01,29326.774,14,588,48.74,28659.12,49,35.14,196.85,2019,2
191,878.1,29,3,568.77,36.58,20805.6066,64,397,34.52,13704.44,171,12.2,86.74,2019,0
192,280.19,50,9,644.76,99.11,63902.1636,11,454,99.42,45136.68,190,89.67,122.66,2019,1
193,409.51,99,8,932.18,92.75,86459.695,14,317,93.46,29626.82,615,96.73,185.4,2019,1
194,715.53,69,1,345.55,10.53,3638.6415,28,84,6.87,577.08,261,98.35,155.33,2019,0
195,837.36,11,6,858.6,98.59,84649.374,6,31,97.9,3034.9,827,47.01,129.76,2019,1
196,128.89,46,3,674.96,66.93,45175.0728,28,554,70.26,38924.04,120,94.61,112.86,2019,1
197,134.28,43,9,740.8,53.67,39758.736,8,619,50.19,31067.61,121,92.14,175.28,2019,2
198,455.73,13,8,253.81,70.59,17916.4479,13,21,65.87,1383.27,232,54.48,61.76,2019,0
199,33.18,41,5,401.64,63.76,25608.5664,27,6,64.45,386.7,395,65.5,125.9,2019,0
200,765.12,10,1,672.53,55.42,37271.6126,1,7,59.62,417.34,665,25.47,31.67,2019,2
201,299.29,49,1,795.2,37.48,29804.096,27,791,41.37,32723.67,4,18.76,84.51,2019,2
202,726.1,66,1,928.82,26.25,24381.525,26,487,31.22,15204.14,441,31.66,26.18,2019,2
203,310.6,59,9,655.49,54.29,35586.5521,13,214,53.87,11528.18,441,73.7,147.54,2019,2
204,827.42,82,9,988.64,55.77,55136.4528,9,262,52.57,13773.34,726,78.44,138.43,2019,2
205,218.43,12,3,387.24,61.66,23877.2184,51,70,58.3,4081.0,317,91.37,34.8,2019,0
206,506.63,75,3,637.42,96.55,61542.901,74,128,97.73,12509.44,509,60.78,118.88,2019,2
207,698.76,75,8,301.53,74.91,22587.6123,12,189,77.77,14698.53,112,34.65,195.36,2019,2
208,282.57,44,4,295.2,59.46,17552.592,27,61,57.08,3481.88,234,85.76,116.98,2019,0
209,863.23,34,10,443.29,99.65,44173.8485,60,382,103.11,39388.02,61,70.78,82.01,2019,1
210,994.13,37,10,626.79,67.87,42540.2373,124,379,63.94,24233.26,247,98.48,104.46,2019,2
211,900.8,18,7,564.11,65.56,36983.0516,13,98,63.85,6257.3,466,12.21,158.98,2019,2
212,625.93,79,10,484.45,80.02,38765.689,144,214,76.34,16336.76,270,22.13,71.63,2019,2
213,831.85,19,6,792.84,55.6,44081.904,5,678,53.21,36076.38,114,32.0,55.07,2019,1
214,657.66,18,9,631.9,52.86,33402.234,12,587,55.72,32707.64,44,77.29,185.57,2019,2
215,567.21,89,10,790.11,32.64,25789.1904,120,637,32.97,21001.89,153,25.86,41.52,2019,2
216,321.95,67,3,31.56,40.89,1290.4884,62,22,37.22,818.84,9,25.47,24.79,2019,0
217,292.92,39,9,704.27,30.57,21529.5339,10,214,33.19,7102.66,490,37.14,24.18,2019,0
218,433.08,100,1,967.46,39.35,38069.551,29,574,41.34,23729.16,393,50.6,103.15,2019,2
219,293.43,35,2,839.04,73.1,61333.824,25,490,75.14,36818.6,349,86.94,160.89,2019,1
220,452.22,79,6,989.32,66.96,66244.8672,5,109,62.11,6769.99,880,28.42,138.91,2019,1
221,984.93,28,8,985.36,34.23,33728.8728,12,564,29.85,16835.4,421,92.82,146.29,2019,2
222,591.56,14,5,639.35,34.34,21955.279,25,270,30.58,8256.6,369,67.91,111.44,2019,0
223,828.47,90,7,910.04,84.55,76943.882,15,94,85.23,8011.62,816,12.18,42.99,2019,1
224,738.57,96,8,652.38,29.74,19401.7812,12,404,25.14,10156.56,248,95.13,190.1,2019,0
225,316.08,38,5,848.89,66.12,56128.6068,22,376,69.93,26293.68,472,37.23,183.87,2019,1
226,951.4,30,10,729.21,16.37,11937.1677,85,458,12.86,5889.88,271,52.59,188.98,2019,0
227,612.82,80,2,151.17,93.21,14090.5557,25,112,96.44,10801.28,39,12.52,164.22,2019,0
228,625.01,75,6,713.91,83.75,59789.9625,6,532,79.57,42331.24,181,94.07,191.62,2019,1
229,69.07,79,5,657.01,91.15,59886.4615,24,128,90.78,11619.84,529,83.19,25.84,2019,2
230,83.9,34,2,740.01,95.64,70774.5564,26,303,95.92,29063.76,437,76.67,126.16,2019,1
231,995.55,90,6,576.03,58.83,33887.8449,5,332,62.34,20696.88,244,65.34,164.95,2019,2
232,268.3,86,10,615.81,17.43,10733.5683,143,322,14.47,4659.34,293,48.72,43.71,2019,0
233,752.03,43,5,233.35,24.66,5754.411,29,202,26.64,5381.28,31,88.78,113.41,2019,0
234,347.34,46,2,358.35,94.46,33849.741,36,248,93.45,23175.6,110,82.68,104.08,2019,2
235,619.6,89,3,956.89,54.59,52236.6251,51,107,51.93,5556.51,849,35.86,79.69,2019,2
236,276.77,90,5,692.7,58.03,40197.381,29,572,53.93,30847.96,120,94.47,107.21,2019,2
237,609.62,27,8,306.25,53.62,16421.125,8,190,50.81,9653.9,116,64.08,63.62,2019,0
238,509.11,58,4,105.23,59.73,6285.3879,30,50,60.32,3016.0,55,18.51,94.08,2019,0
239,809.14,73,8,205.21,90.57,18585.8697,9,115,93.05,10700.75,90,81.37,82.42,2019,0
240,208.76,29,5,483.2,48.3,23338.56,22,177,52.87,9357.99,306,33.51,74.5,2019,0
241,737.07,48,5,446.12,37.04,16524.2848,22,445,42.01,18694.45,1,81.25,84.46,2019,0
242,439.1,16,6,34.74,44.14,1533.4236,7,1,43.32,43.32,33,35.95,120.01,2019,0
243,990.49,64,7,936.0,74.09,69348.24,12,612,76.51,46824.12,324,10.36,124.3,2019,1
244,931.19,76,1,21.76,11.79,256.5504,1,4,12.78,51.12,17,94.36,63.76,2019,0
245,766.05,68,1,358.38,10.81,3874.0878,24,248,11.74,2911.52,110,64.05,175.77,2019,0
246,345.39,61,3,395.11,14.21,5614.5131,89,322,10.72,3451.84,73,86.59,98.34,2019,0
247,747.46,28,6,209.35,97.73,20459.7755,5,90,94.33,8489.7,119,56.91,177.65,2019,0
248,922.91,22,9,4.71,50.15,236.2065,14,2,54.01,108.02,2,27.82,84.36,2019,0
249,636.07,40,6,989.71,74.31,73545.3501,5,44,79.2,3484.8,945,57.81,88.88,2019,1
250,863.23,79,6,922.69,86.74,80034.1306,5,272,84.61,23013.92,650,27.34,151.39,2019,1
251,385.57,65,2,300.72,35.21,10588.3512,39,268,39.13,10486.84,32,17.37,115.85,2019,0
252,366.26,73,7,14.33,91.43,1310.1919,18,10,86.91,869.1,4,47.88,197.85,2019,0
253,614.24,24,7,283.62,73.92,20965.1904,14,184,69.47,12782.48,99,32.9,84.32,2019,0
254,463.98,63,8,950.47,84.15,79982.0505,7,945,88.82,83934.9,5,81.01,94.86,2019,1
255,849.0,51,4,724.27,98.37,71246.4399,30,489,99.61,48709.29,235,48.95,64.87,2019,1
256,318.12,28,3,115.3,10.41,1200.273,43,82,6.77,555.14,33,30.32,176.3,2019,0
257,405.64,24,4,829.98,12.57,10432.8486,28,683,8.75,5976.25,146,42.17,193.06,2019,0
258,267.87,61,4,854.92,59.32,50713.8544,24,108,55.44,5987.52,746,52.16,34.25,2019,2
259,128.34,31,9,947.94,27.37,25945.1178,8,667,28.86,19249.62,280,39.37,162.94,2019,2
260,184.98,54,8,277.99,14.12,3925.2188,9,85,12.1,1028.5,192,36.99,88.68,2019,0
261,309.38,48,4,272.66,82.97,22622.6002,24,97,86.41,8381.77,175,14.16,34.7,2019,0
262,674.16,59,5,45.17,17.4,785.958,27,38,15.41,585.58,7,73.22,122.61,2019,0
263,685.54,84,6,273.05,85.59,23370.3495,6,214,83.73,17918.22,59,56.5,35.47,2019,2
264,978.74,52,7,446.32,78.68,35116.4576,16,144,75.55,10879.2,302,79.92,168.74,2019,2
